id,name,specialty,specialty_id,years_experience,clinic_name,city,state,fees,rating,reviews_count,bio,profile_image,available_today,available_tomorrow
1,Aditya Reddy,Cardiology,1,14,Sun Heart Clinic,Vijayawada,Andhra Pradesh,900,4.7,218,"Comprehensive cardiac diagnosis and preventive heart care.",,true,true
2,Nisha Rao,Dermatology,2,9,Glow Skin Center,Visakhapatnam,Andhra Pradesh,600,4.5,141,"Medical and cosmetic dermatology for skin and hair concerns.",,false,true
3,Tsering Tashi,Orthopedics,3,12,Hill Bone Care,Itanagar,Arunachal Pradesh,850,4.6,123,"Orthopedic care for fractures, joint pain, and sports injuries.",,true,false
4,Mitali Das,Pediatrics,4,8,Little Star Clinic,Naharlagun,Arunachal Pradesh,500,4.4,87,"Child health, vaccinations, and growth monitoring services.",,true,true
5,Rahul Bora,Neurology,5,15,Neuro Assam Center,Guwahati,Assam,1050,4.8,256,"Neurology consultations for headache, epilepsy, and stroke follow-up.",,false,true
6,Priyanka Saikia,Gynecology,6,11,Women First Care,Dibrugarh,Assam,700,4.6,176,"Women's health, pregnancy care, and hormonal wellness support.",,true,true
7,Sushant Jha,General Medicine,7,10,Patna Family Clinic,Patna,Bihar,450,4.5,203,"Primary care for infections, diabetes, BP, and routine checkups.",,true,true
8,Ritu Kumari,Dentistry,8,7,Bright Smile Dental,Gaya,Bihar,400,4.4,98,"Dental consultations, root canal, and preventive oral care.",,true,false
9,Manish Verma,ENT,9,13,Clear ENT Center,Raipur,Chhattisgarh,650,4.6,169,"Ear, nose, throat evaluation with allergy and sinus management.",,false,true
10,Shweta Sahu,Ophthalmology,10,9,Vision Plus Eye Clinic,Bilaspur,Chhattisgarh,700,4.5,132,"Eye care for cataract, glaucoma screening, and retina checks.",,true,true
11,Karan Naik,Psychiatry,11,11,Mind Balance Clinic,Panaji,Goa,900,4.7,158,"Psychiatric consultation for anxiety, depression, and sleep issues.",,true,true
12,Rhea Fernandes,Pulmonology,12,10,Respira Care,Margao,Goa,950,4.6,121,"Respiratory care for asthma, COPD, and chronic cough.",,false,true
13,Parth Shah,Nephrology,13,14,Kidney Care Hub,Ahmedabad,Gujarat,1100,4.8,244,"Kidney disease management and dialysis planning support.",,true,false
14,Aarohi Mehta,Urology,14,9,UroLife Clinic,Surat,Gujarat,950,4.5,139,"Urology care for stones, infections, and male urinary issues.",,true,true
15,Rohit Dahiya,Gastroenterology,15,13,Digestive Health Center,Gurugram,Haryana,1000,4.7,211,"Digestive care for reflux, IBS, and liver-related concerns.",,true,true
16,Simran Kaur,Oncology,16,12,Cancer Consult Unit,Faridabad,Haryana,1300,4.6,165,"Oncology guidance with multidisciplinary treatment planning.",,false,true
17,Vivek Thakur,Endocrinology,17,10,Thyro Sugar Clinic,Shimla,Himachal Pradesh,900,4.5,126,"Diabetes, thyroid, and hormonal disorder management.",,true,true
18,Kritika Rana,Rheumatology,18,8,Joint Autoimmune Center,Dharamshala,Himachal Pradesh,850,4.4,93,"Rheumatology care for arthritis and autoimmune conditions.",,true,false
19,Anuj Soren,Hematology,19,11,Blood Care Institute,Ranchi,Jharkhand,1000,4.6,144,"Diagnosis and treatment of anemia and blood disorders.",,false,true
20,Pooja Kerketta,Anesthesiology,20,9,Pain Relief Clinic,Jamshedpur,Jharkhand,800,4.5,101,"Perioperative support and chronic pain management services.",,true,true
21,Siddharth Rao,Radiology,21,12,Precision Imaging,Bengaluru,Karnataka,900,4.7,239,"Radiology reporting for ultrasound, CT, and MRI scans.",,true,true
22,Harini Iyer,Physiotherapy,22,7,MoveWell Rehab,Mysuru,Karnataka,500,4.4,117,"Rehabilitation and mobility plans for injury recovery.",,true,false
23,Naveen Nair,Nutrition & Dietetics,23,8,Metabolic Diet Clinic,Kochi,Kerala,600,4.5,128,"Evidence-based nutrition plans for weight and metabolic health.",,false,true
24,Aleena Joseph,Emergency Medicine,24,10,Rapid Care ER,Thiruvananthapuram,Kerala,1200,4.6,176,"Urgent care assessment for acute medical emergencies.",,true,true
